Identifier,Name,Geometry
TONDIKIBORO_TKAMONT,TONDIKIBORO_TKAMONT,wkt:POINT Z (2.7001 13.5479 250)
TONDIKIBORO_TKAVAL,TONDIKIBORO_TKAVAL,wkt:POINT Z (2.6956 13.5482 240)
MELE HAOUSSA_MH1,MELE HAOUSSA_MH1,wkt:POINT (1.6047 13.8751)
MELE HAOUSSA_MH2,MELE HAOUSSA_MH2,wkt:POINT (1.6043 13.8844)
TONDIKIBORO_TKBODO,TONDIKIBORO_TKBODO,wkt:POINT (2.6958 13.5472)
TONDIKIBORO_TKAMONT_E,TONDIKIBORO_TKAMONT_E,wkt:POINT (2.7004 13.546)
TONDIKIBORO_TKIBM,TONDIKIBORO_TKIBM,wkt:POINT (2.7008 13.5496)
BELEFOUNGOU_FLUX,BELEFOUNGOU_FLUX,wkt:POINT Z(1.718 9.7912 414.0)
